,"en","ru"
"TABLET_SAVE_GAME","Save game","Сохранить игру"
"TABLET_LOAD_GAME_CAPTION","Load game","Загрузка игры"
"TABLET_LOAD_GAME","Load game","Загрузить игру"
"TABLET_QUIT_GAME","Quit game","Выйти из игры"
"TABLET_EMPTY_SLOT","EMPTY SLOT","ПУСТОЙ СЛОТ"
"MAIN_MENU_JOY_HINT","Use right stick to move the cursor, button A to select","Используйте правый стик для движения курсора, кнопку A для выбора"
"INPUT_MAP_ACTION","Action","Действие"
"INPUT_MAP_ACTIVE_ITEM_1","Select item 1","Выбор предмета 1"
"INPUT_MAP_ACTIVE_ITEM_2","Select item 2","Выбор предмета 2"
"INPUT_MAP_ACTIVE_ITEM_3","Select item 3","Выбор предмета 3"
"INPUT_MAP_ACTIVE_ITEM_4","Select item 4","Выбор предмета 4"
"INPUT_MAP_ACTIVE_ITEM_5","Select item 5","Выбор предмета 5"
"INPUT_MAP_ACTIVE_ITEM_6","Select item 6","Выбор предмета 6"
"INPUT_MAP_ACTIVE_ITEM_BACK","Previous item","Предыдущий предмет"
"INPUT_MAP_ACTIVE_ITEM_NEXT","Next item","Следующий предмет"
"INPUT_MAP_ACTIVE_ITEM_TOGGLE","Toggle quick item","Сменить быстрый предмет"
"INPUT_MAP_CROUCH","Crouch","Присесть"
"INPUT_MAP_DIALOGUE_NEXT","Continue dialogue","Продолжить диалог"
"INPUT_MAP_DIALOGUE_OPTION_1","Dialogue select option 1","Выбор опции диалога 1"
"INPUT_MAP_DIALOGUE_OPTION_2","Dialogue select option 2","Выбор опции диалога 2"
"INPUT_MAP_DIALOGUE_OPTION_3","Dialogue select option 3","Выбор опции диалога 3"
"INPUT_MAP_DIALOGUE_OPTION_4","Dialogue select option 4","Выбор опции диалога 4"
"INPUT_MAP_FLASHLIGHT","Flashlight","Фонарик"
"INPUT_MAP_INVENTORY_TOGGLE","Show all inventory","Показать весь инвентарь"
"INPUT_MAP_ITEM_PREVIEW_ACTION_1","Examine item action 1","Действие при изучении 1"
"INPUT_MAP_ITEM_PREVIEW_ACTION_2","Examine item action 2","Действие при изучении 2"
"INPUT_MAP_ITEM_PREVIEW_ACTION_3","Examine item action 3","Действие при изучении 3"
"INPUT_MAP_ITEM_PREVIEW_ACTION_4","Examine item action 4","Действие при изучении 4"
"INPUT_MAP_ITEM_PREVIEW_TOGGLE","Examine item","Рассмотреть предмет"
"INPUT_MAP_MOVEMENT_BACKWARD","Move backward","Идти назад"
"INPUT_MAP_MOVEMENT_FORWARD","Move forward","Идти вперёд"
"INPUT_MAP_MOVEMENT_JUMP","Jump","Прыжок"
"INPUT_MAP_MOVEMENT_LEFT","Move left","Идти влево"
"INPUT_MAP_MOVEMENT_RIGHT","Move right","Идти вправо"
"INPUT_MAP_MOVEMENT_SPRINT","Run","Бег"
"INPUT_MAP_CAM_DOWN","Look down","Посмотреть вниз"
"INPUT_MAP_CAM_UP","Look up","Посмотреть наверх"
"INPUT_MAP_CAM_LEFT","Look left","Посмотреть налево"
"INPUT_MAP_CAM_RIGHT","Look right","Посмотреть направо"
"ACTION_USE","Use","Использовать"
"ACTION_USE_AIR_POCKET","Use air pocket","Использовать воздушный карман"
"ACTION_TAKE","Take","Взять"
"ACTION_LOOT","Search","Обыскать"
"ACTION_ATTACK","Attack","Атаковать"
"ACTION_LOAD","Load","Зарядить"
"ACTION_SHOOT","Shoot","Выстрелить"
"ACTION_PUT_1","Put on a postament","Поставить на постамент"
"ACTION_PUT_2","Put in the chest","Положить в сундук"
"ACTION_PUT_GB","Put back","Положить обратно"
"ACTION_HIDE","Hide","Спрятаться"
"ACTION_UNHIDE","Unhide","Выбраться"
"ACTION_OPEN","Open","Открыть"
"ACTION_CLOSE","Close","Закрыть"
"ACTION_IGNITE","Ignite","Зажечь"
"ACTION_EXTINGUISH","Extinguish","Потушить"
"ACTION_TURN","Turn","Повернуть"
"ACTION_PUSH","Push","Нажать"
"ACTION_PULL","Pull","Потянуть"
"ACTION_DISCUSS","Discuss with companion","Обсудить c компаньоном"
"ACTION_TALK","Talk","Поговорить"
"ACTION_READ","Ask Xenia to translate the inscription","Попросить Ксению перевести надпись"
"ACTION_GIVE","Give","Отдать"
"ACTION_GO_INSIDE","Go inside","Зайти внутрь"
"ACTION_GO_OUTSIDE","Go outside","Выйти наружу"
"ACTION_CLOSE_PREVIEW","Close preview","Закрыть просмотр"
"ACTION_TOGGLE_QUICK_ITEM","Toggle quick item","Сменить быстрый предмет"
"CONVERSATION_CONTINUE","[CONTINUE CONVERSATION]","[ПРОДОЛЖИТЬ РАЗГОВОР]"
"CONVERSATION_END","[END CONVERSATION]","[ЗАВЕРШИТЬ РАЗГОВОР]"
"MESSAGE_PLEASE_WAIT","Please wait…","Подождите, пожалуйста…"
"MESSAGE_ITEM_TAKEN","You have taken the item: %s","Вы взяли предмет: %s"
"MESSAGE_CONTROLS_MOVE","Use %s to move, use %s to run","Используйте %s для движения, %s для бега"
"MESSAGE_CONTROLS_ITEMS","Use %s to switch to the next item, %s to switch to the previous item","Используйте %s, чтобы сделать активным следующий предмет, %s – предыдущий"
"MESSAGE_CONTROLS_ITEMS_KEYS","You can also use %s-%s keys to quickly switch between items","Вы можете также использовать клавиши %s-%s для быстрого переключения между предметами"
"MESSAGE_CONTROLS_INVENTORY","Use %s to open full inventory","Используйте %s, чтобы открыть весь инвентарь"
"MESSAGE_CONTROLS_EXAMINE","Use %s to examine current active item in your inventory","Используйте %s для изучения текущего активного предмета в вашем инвентаре"
"MESSAGE_CONTROLS_FLASHLIGHT","Use %s to toggle flashlight on and off","Используйте %s, чтобы включить и выключить фонарик"
"MESSAGE_CONTROLS_CROUCH","Use %s to crouch","Используйте %s, чтобы присесть"
"MESSAGE_CONTROLS_DIALOGUE_1","When in trouble, try to talk with your companion","В сложной ситуации попробуйте поговорить с компаньоном"
"MESSAGE_CONTROLS_DIALOGUE_2","Companion can give you a hint what to do next","Компаньон может подсказать вам, что делать дальше"
"SETTINGS_TABLET_ORIENTATION","Tablet orientation","Ориентация планшета"
"SETTINGS_VSYNC","Vsync","Vsync"
"SETTINGS_FULLSCREEN","Fullscreen","Полный экран"
"SETTINGS_QUALITY","Quality","Качество"
"SETTINGS_RESOLUTION","Resolution","Разрешение"
"SETTINGS_AA","Anti-aliasing","Антиалиасинг"
"SETTINGS_LANGUAGE","Language","Язык"
"SETTINGS_VLANGUAGE","Voiceover language","Язык озвучки"
"SETTINGS_SUBTITLES","Subtitles","Субтитры"
"SETTINGS_VOLUME_MASTER","Master volume","Общая громкость"
"SETTINGS_VOLUME_MUSIC","Music volume","Громкость музыки"
"SETTINGS_VOLUME_SOUND","Sound volume","Громкость звуков"
"SETTINGS_VOLUME_SPEECH","Speech volume","Громкость диалогов"
"father","Father","Отец"
"player","Andreas","Андреас"
"female","Xenia","Ксения"
"bandit","Max","Макс"
"island_map","Andreas' childhood drawing","Детский рисунок Андреаса"
"island_map_2","The map of the island","Карта острова"
"saffron_bun","Bun","Булочка"
"saffron_bun_item_preview_action_1","Eat the bun","Съесть булочку"
"statue_apata","Statue of Apata","Статуэтка Апаты"
"statue_clio","Statue with a scroll","Статуэтка со свитком"
"statue_melpomene","Statue with a mask","Статуэтка с маской"
"statue_urania","Statue with a sphere","Статуэтка с шаром"
"sphere_for_postament_body","Glowing sphere","Светящаяся сфера"
"statue_aphrodite","Statue of Aphrodite","Статуэтка Афродиты"
"statue_apollo","Statue of Apollo","Статуэтка Аполлона"
"statue_ares","Statue of Ares","Статуэтка Ареса"
"statue_athena","Statue of Athena","Статуэтка Афины"
"statue_erida","Statue of Eris","Статуэтка Эриды"
"statue_hebe","Statue of Hebe","Статуэтка Гебы"
"statue_hermes","Statue of Hermes","Статуэтка Гермеса"
"hera_statue","Statue of Hera","Статуэтка Геры"
"envelope","Envelope","Конверт"
"envelope_item_preview_action_1","Open the envelope","Открыть конверт"
"barn_lock_key","Labyrinth Key","Ключ от лабиринта"
"cell_phone","Cell phone","Сотовый телефон"
"coin","Coin","Монета"
"flask_empty","Empty flask","Пустая фляжка"
"flask_healing","Flask with ambrosia","Фляжка с амброзией"
"flask_healing_item_preview_action_1","Take a sip of ambrosia","Сделать глоток амброзии"
"tube_breath","Breathing tube","Трубка для дыхания"
"palladium","Palladium","Палладиум"
"statue_artemida","Statue of Artemis","Статуэтка Артемиды"
"air_tank","Air tank","Баллончик с воздухом"
"air_tank_item_preview_action_1","Inhale air from air tank","Вдохнуть воздух из баллончика"
"apple_gold","Golden apple","Золотое яблоко"
"apple_silver","Silver apple","Серебряное яблоко"
"action_take_apple","Take apple from the jar","Взять яблоко из кувшина"
"apple_jar_gg","Jar with golden apples","Кувшин с золотыми яблоками"
"apple_jar_gs","Jar with golden and silver apples","Кувшин с золотыми и серебряными яблоками"
"apple_jar_ss","Jar with silver apples","Кувшин с серебряными яблоками"
"greek_arrow","Arrow","Стрела"
"sword_body","Sword","Меч"
"hebe_room_key","Hebe room key","Ключ комнаты Гебы"
"argus_eyes","Eyes of Argus","Глаза Аргуса"
"echo_sounder","Echo sounder","Эхолот"
"echo_sounder_item_preview_action_1","Use an echo sounder","Использовать эхолот"
"flashlight_uv","Ultraviolet Flashlight","Ультрафиолетовый фонарик"
"lyre_snake","Lyre with a snake","Лира со змеёй"
"lyre_snake_item_preview_action_1","Play the lyre","Сыграть на лире"
"lyre_rat","Lyre with a rat","Лира с крысой"
"lyre_rat_item_preview_action_1","Play the lyre","Сыграть на лире"
"lyre_spider","Lyre with a spider","Лира с пауком"
"lyre_spider_item_preview_action_1","Play the lyre","Сыграть на лире"
"medusa_head","Dehydrated head of the Gorgon Medusa","Сухая голова Медузы Горгоны"
"medusa_activated","Head of the Gorgon Medusa","Голова Медузы Горгоны"
"minotaur_key","Minotaur key","Ключ минотавра"
"golden_bar","Golden bar","Золотой слиток"
"zeus_hammer","Hammer of Zeus","Молот Зевса"
